date chart,date,product grams
 Sep Wed 26,9/26/2018,47
 Sep Thu 27,9/27/2018,56.4
 Sep Fri 28,9/28/2018,54.3
 Sep Sat 29,9/29/2018,75.7
 Sep Sun 30,9/30/2018,60.5
 Oct Mon 1,10/1/2018,9.3
 Oct Tue 2,10/2/2018,0
 Oct Wed 3,10/3/2018,75
 Oct Thu 4,10/4/2018,60.5
 Oct Fri 5,10/5/2018,69.4
 Oct Sat 6,10/6/2018,23.5
 Oct Sun 7,10/7/2018,140.5
 Oct Mon 8,10/8/2018,0
 Oct Tue 9,10/9/2018,33.9
 Oct Wed 10,10/10/2018,19
 Oct Thu 11,10/11/2018,67.5
 Oct Fri 12,10/12/2018,74.1
 Oct Sat 13,10/13/2018,93.3
 Oct Sun 14,10/14/2018,67.5
 Oct Mon 15,10/15/2018,73.4
 Oct Tue 16,10/16/2018,76.7
 Oct Wed 17,10/17/2018,23.8
 Oct Thu 18,10/18/2018,91.1
 Oct Fri 19,10/19/2018,0
 Oct Sat 20,10/20/2018,122
 Oct Sun 21,10/21/2018,91.1
 Oct Mon 22,10/22/2018,40.7
 Oct Tue 23,10/23/2018,139.5
 Oct Wed 24,10/24/2018,11.8
 Oct Thu 25,10/25/2018,11.8
 Oct Fri 26,10/26/2018,0
 Oct Sat 27,10/27/2018,38.7
 Oct Sun 28,10/28/2018,11.8
 Oct Mon 29,10/29/2018,48.3
 Oct Tue 30,10/30/2018,7
 Oct Wed 31,10/31/2018,11.8
 Nov Thu 1,11/1/2018,0
 Nov Fri 2,11/2/2018,22.6
 Nov Sat 3,11/3/2018,45.7
 Nov Sun 4,11/4/2018,59
 Nov Mon 5,11/5/2018,0
 Nov Tue 6,11/6/2018,22.6
 Nov Wed 7,11/7/2018,59
 Nov Thu 8,11/8/2018,11.3
 Nov Fri 9,11/9/2018,113.7
 Nov Sat 10,11/10/2018,135.1
 Nov Sun 11,11/11/2018,47
 Nov Mon 12,11/12/2018,96.4
 Nov Tue 13,11/13/2018,33.9
 Nov Wed 14,11/14/2018,47
 Nov Thu 15,11/15/2018,56.4
 Nov Fri 16,11/16/2018,54.3
 Nov Sat 17,11/17/2018,75.7
 Nov Sun 18,11/18/2018,75
 Nov Mon 19,11/19/2018,9.3
 Nov Tue 20,11/20/2018,11.8
 Nov Wed 21,11/21/2018,75
 Nov Thu 22,11/22/2018,139.5
 Nov Fri 23,11/23/2018,186.4
 Nov Sat 24,11/24/2018,140.5
 Nov Sun 25,11/25/2018,0
 Nov Mon 26,11/26/2018,0
 Nov Tue 27,11/27/2018,0
 Nov Wed 28,11/28/2018,19
 Nov Thu 29,11/29/2018,67.5
 Nov Fri 30,11/30/2018,74.1
 Dec Sat 1,12/1/2018,93.3
 Dec Sun 2,12/2/2018,19
 Dec Mon 3,12/3/2018,73.4
 Dec Tue 4,12/4/2018,33.9
 Dec Wed 5,12/5/2018,23.8
 Dec Thu 6,12/6/2018,91.1
 Dec Fri 7,12/7/2018,0
 Dec Sat 8,12/8/2018,122
 Dec Sun 9,12/9/2018,23.8
 Dec Mon 10,12/10/2018,40.7
 Dec Tue 11,12/11/2018,76.7
 Dec Wed 12,12/12/2018,11.8
 Dec Thu 13,12/13/2018,11.8
 Dec Fri 14,12/14/2018,22.6
 Dec Sat 15,12/15/2018,75.7
